
="",="(1)"
="",="Chosen_Immigrant"

="1.FeatGender",="0"
="",="[.]"

="2.FeatGender",="-0.0237"
="",="[0.0101]"

="1.FeatEd",="0"
="",="[.]"

="2.FeatEd",="0.106"
="",="[0.0493]"

="3.FeatEd",="0.193"
="",="[0.0472]"

="4.FeatEd",="0.116"
="",="[0.0525]"

="5.FeatEd",="0.183"
="",="[0.0535]"

="6.FeatEd",="0.125"
="",="[0.0524]"

="7.FeatEd",="0.204"
="",="[0.0545]"

="1.FeatJob",="0"
="",="[.]"

="2.FeatJob",="0.00737"
="",="[0.0469]"

="3.FeatJob",="0.0770"
="",="[0.0493]"

="4.FeatJob",="0.0132"
="",="[0.0463]"

="5.FeatJob",="0.0895"
="",="[0.0649]"

="6.FeatJob",="0.0871"
="",="[0.0474]"

="7.FeatJob",="0.146"
="",="[0.0482]"

="8.FeatJob",="0.0620"
="",="[0.0610]"

="9.FeatJob",="0.144"
="",="[0.0478]"

="10.FeatJob",="0.0846"
="",="[0.0664]"

="11.FeatJob",="0.171"
="",="[0.0606]"

="1.FeatEd#1.FeatJob",="0"
="",="[.]"

="1.FeatEd#2.FeatJob",="0"
="",="[.]"

="1.FeatEd#3.FeatJob",="0"
="",="[.]"

="1.FeatEd#4.FeatJob",="0"
="",="[.]"

="1.FeatEd#5.FeatJob",="0"
="",="[.]"

="1.FeatEd#6.FeatJob",="0"
="",="[.]"

="1.FeatEd#7.FeatJob",="0"
="",="[.]"

="1.FeatEd#8.FeatJob",="0"
="",="[.]"

="1.FeatEd#9.FeatJob",="0"
="",="[.]"

="1.FeatEd#10.FeatJob",="0"
="",="[.]"

="1.FeatEd#11.FeatJob",="0"
="",="[.]"

="2.FeatEd#1.FeatJob",="0"
="",="[.]"

="2.FeatEd#2.FeatJob",="-0.0321"
="",="[0.0717]"

="2.FeatEd#3.FeatJob",="-0.0488"
="",="[0.0716]"

="2.FeatEd#4.FeatJob",="-0.0265"
="",="[0.0658]"

="2.FeatEd#5.FeatJob",="0"
="",="[.]"

="2.FeatEd#6.FeatJob",="-0.0527"
="",="[0.0701]"

="2.FeatEd#7.FeatJob",="-0.158"
="",="[0.0685]"

="2.FeatEd#8.FeatJob",="0"
="",="[.]"

="2.FeatEd#9.FeatJob",="-0.0857"
="",="[0.0704]"

="2.FeatEd#10.FeatJob",="0"
="",="[.]"

="2.FeatEd#11.FeatJob",="0"
="",="[.]"

="3.FeatEd#1.FeatJob",="0"
="",="[.]"

="3.FeatEd#2.FeatJob",="-0.0769"
="",="[0.0644]"

="3.FeatEd#3.FeatJob",="-0.223"
="",="[0.0684]"

="3.FeatEd#4.FeatJob",="-0.0915"
="",="[0.0675]"

="3.FeatEd#5.FeatJob",="0"
="",="[.]"

="3.FeatEd#6.FeatJob",="-0.154"
="",="[0.0700]"

="3.FeatEd#7.FeatJob",="-0.203"
="",="[0.0708]"

="3.FeatEd#8.FeatJob",="0"
="",="[.]"

="3.FeatEd#9.FeatJob",="-0.199"
="",="[0.0672]"

="3.FeatEd#10.FeatJob",="0"
="",="[.]"

="3.FeatEd#11.FeatJob",="0"
="",="[.]"

="4.FeatEd#1.FeatJob",="0"
="",="[.]"

="4.FeatEd#2.FeatJob",="0.0454"
="",="[0.0735]"

="4.FeatEd#3.FeatJob",="-0.0391"
="",="[0.0736]"

="4.FeatEd#4.FeatJob",="0.00369"
="",="[0.0706]"

="4.FeatEd#5.FeatJob",="0"
